Date,Visitor,G,Home,G,,Att.,LOG,Notes
2007-09-29,Anaheim Ducks,1,Los Angeles Kings,4,,17300,,at London GB
2007-09-30,Los Angeles Kings,1,Anaheim Ducks,4,,17300,,at London GB
2007-10-03,Montreal Canadiens,3,Carolina Hurricanes,2,OT,18680,,
2007-10-03,Dallas Stars,3,Colorado Avalanche,4,,17487,,
2007-10-03,Anaheim Ducks,2,Detroit Red Wings,3,SO,17610,,
2007-10-03,Ottawa Senators,4,Toronto Maple Leafs,3,OT,19476,,
2007-10-04,Philadelphia Flyers,3,Calgary Flames,2,,19289,,
2007-10-04,San Jose Sharks,2,Edmonton Oilers,3,SO,16839,,
2007-10-04,Chicago Blackhawks,0,Minnesota Wild,1,,18568,,
2007-10-04,Colorado Avalanche,0,Nashville Predators,4,,16363,,
2007-10-04,Florida Panthers,2,New York Rangers,5,,18200,,
2007-10-04,Toronto Maple Leafs,2,Ottawa Senators,3,,19857,,
2007-10-04,St. Louis Blues,2,Phoenix Coyotes,3,,17799,,
2007-10-04,New Jersey Devils,1,Tampa Bay Lightning,3,,19454,,
2007-10-05,Washington Capitals,3,Atlanta Thrashers,1,,18707,,
2007-10-05,New York Islanders,6,Buffalo Sabres,4,,18690,,
2007-10-05,Pittsburgh Penguins,1,Carolina Hurricanes,4,,17816,,
2007-10-05,Anaheim Ducks,0,Columbus Blue Jackets,4,,17852,,
2007-10-05,Boston Bruins,1,Dallas Stars,4,,18532,,
2007-10-05,San Jose Sharks,3,Vancouver Canucks,1,,18630,,
2007-10-06,Vancouver Canucks,4,Calgary Flames,3,OT,19289,,
2007-10-06,Detroit Red Wings,3,Chicago Blackhawks,4,SO,18768,,
2007-10-06,Philadelphia Flyers,3,Edmonton Oilers,5,,16839,,
2007-10-06,New Jersey Devils,4,Florida Panthers,1,,19250,,
2007-10-06,St. Louis Blues,5,Los Angeles Kings,3,,18118,,
2007-10-06,Columbus Blue Jackets,2,Minnesota Wild,3,,18568,,
2007-10-06,Dallas Stars,1,Nashville Predators,5,,13079,,
2007-10-06,Buffalo Sabres,2,New York Islanders,3,,16234,,
2007-10-06,New York Rangers,0,Ottawa Senators,2,,19336,,
2007-10-06,Boston Bruins,3,Phoenix Coyotes,1,,14087,,
2007-10-06,Anaheim Ducks,4,Pittsburgh Penguins,5,,17132,,
2007-10-06,Atlanta Thrashers,2,Tampa Bay Lightning,5,,19220,,
