Date,Visitor,G,Home,G,,Att.,LOG,Notes
2016-04-13,New York Rangers,2,Pittsburgh Penguins,5,,18588,2:43,
2016-04-13,Chicago Blackhawks,0,St. Louis Blues,1,OT,19241,2:50,
2016-04-13,Detroit Red Wings,2,Tampa Bay Lightning,3,,19092,2:48,
2016-04-14,Minnesota Wild,0,Dallas Stars,4,,18532,2:37,
2016-04-14,New York Islanders,5,Florida Panthers,4,,17422,2:37,
2016-04-14,San Jose Sharks,4,Los Angeles Kings,3,,18230,2:36,
2016-04-14,Philadelphia Flyers,0,Washington Capitals,2,,18506,2:37,
2016-04-15,Nashville Predators,3,Anaheim Ducks,2,,17236,2:42,
2016-04-15,New York Islanders,1,Florida Panthers,3,,18373,2:39,
2016-04-15,Chicago Blackhawks,3,St. Louis Blues,2,,19846,2:45,
2016-04-15,Detroit Red Wings,2,Tampa Bay Lightning,5,,19092,2:51,
2016-04-16,Minnesota Wild,1,Dallas Stars,2,,18988,2:48,
2016-04-16,San Jose Sharks,2,Los Angeles Kings,1,,18514,2:39,
2016-04-16,New York Rangers,4,Pittsburgh Penguins,2,,18614,2:45,
2016-04-16,Philadelphia Flyers,1,Washington Capitals,4,,18506,2:39,
2016-04-17,Nashville Predators,3,Anaheim Ducks,2,,17174,2:36,
2016-04-17,St. Louis Blues,3,Chicago Blackhawks,2,,22207,2:39,
2016-04-17,Tampa Bay Lightning,0,Detroit Red Wings,2,,20027,2:42,
2016-04-17,Florida Panthers,3,New York Islanders,4,OT,15795,3:13,
2016-04-18,Dallas Stars,3,Minnesota Wild,5,,19038,2:40,
2016-04-18,Washington Capitals,6,Philadelphia Flyers,1,,19678,2:37,
2016-04-18,Los Angeles Kings,2,San Jose Sharks,1,OT,17562,2:52,
2016-04-19,St. Louis Blues,4,Chicago Blackhawks,3,,22212,2:49,
2016-04-19,Tampa Bay Lightning,3,Detroit Red Wings,2,,20027,2:43,
2016-04-19,Anaheim Ducks,3,Nashville Predators,0,,17204,2:34,
2016-04-19,Pittsburgh Penguins,3,New York Rangers,1,,18006,2:30,
2016-04-20,Dallas Stars,3,Minnesota Wild,2,,19080,2:39,
2016-04-20,Florida Panthers,2,New York Islanders,1,,15795,2:40,
2016-04-20,Washington Capitals,1,Philadelphia Flyers,2,,19692,2:41,
2016-04-20,Los Angeles Kings,2,San Jose Sharks,3,,17562,2:34,
2016-04-21,Anaheim Ducks,4,Nashville Predators,1,,17232,2:30,
2016-04-21,Pittsburgh Penguins,5,New York Rangers,0,,18006,2:44,
2016-04-21,Chicago Blackhawks,4,St. Louis Blues,3,2OT,19956,3:43,
2016-04-21,Detroit Red Wings,0,Tampa Bay Lightning,1,,19092,2:34,
2016-04-22,Minnesota Wild,5,Dallas Stars,4,OT,18889,3:02,
2016-04-22,New York Islanders,2,Florida Panthers,1,2OT,20247,4:07,
2016-04-22,San Jose Sharks,6,Los Angeles Kings,3,,18543,2:36,
2016-04-22,Philadelphia Flyers,2,Washington Capitals,0,,18506,2:45,
2016-04-23,Nashville Predators,2,Anaheim Ducks,5,,17360,2:40,
2016-04-23,St. Louis Blues,3,Chicago Blackhawks,6,,22260,2:31,
2016-04-23,New York Rangers,3,Pittsburgh Penguins,6,,18607,2:35,
2016-04-24,Dallas Stars,5,Minnesota Wild,4,,19310,2:47,
2016-04-24,Florida Panthers,1,New York Islanders,2,2OT,15795,3:58,
2016-04-24,Washington Capitals,1,Philadelphia Flyers,0,,19925,2:30,
2016-04-25,Anaheim Ducks,1,Nashville Predators,3,,17113,2:31,
2016-04-25,Chicago Blackhawks,2,St. Louis Blues,3,,19935,2:36,
2016-04-27,Nashville Predators,2,Anaheim Ducks,1,,17407,2:34,
2016-04-27,New York Islanders,5,Tampa Bay Lightning,3,,19092,2:32,
2016-04-28,Pittsburgh Penguins,3,Washington Capitals,4,OT,18506,3:17,
2016-04-29,St. Louis Blues,1,Dallas Stars,2,,18532,2:27,
2016-04-29,Nashville Predators,2,San Jose Sharks,5,,17026,2:34,
2016-04-30,New York Islanders,1,Tampa Bay Lightning,4,,19092,2:36,
2016-04-30,Pittsburgh Penguins,2,Washington Capitals,1,,18506,2:41,
2016-05-01,St. Louis Blues,4,Dallas Stars,3,OT,18889,3:05,
2016-05-01,Nashville Predators,2,San Jose Sharks,3,,17562,2:34,
2016-05-02,Washington Capitals,2,Pittsburgh Penguins,3,,18601,2:37,
2016-05-03,San Jose Sharks,1,Nashville Predators,4,,17163,2:35,
2016-05-03,Tampa Bay Lightning,5,New York Islanders,4,OT,15795,3:00,
2016-05-03,Dallas Stars,1,St. Louis Blues,6,,19323,2:47,
2016-05-04,Washington Capitals,2,Pittsburgh Penguins,3,OT,18614,3:04,
2016-05-05,San Jose Sharks,3,Nashville Predators,4,3OT,17188,4:53,
2016-05-05,Dallas Stars,3,St. Louis Blues,2,OT,19770,2:57,
2016-05-06,Tampa Bay Lightning,2,New York Islanders,1,OT,15795,3:05,
2016-05-07,St. Louis Blues,4,Dallas Stars,1,,18754,2:26,
2016-05-07,Nashville Predators,1,San Jose Sharks,5,,17562,2:33,
2016-05-07,Pittsburgh Penguins,1,Washington Capitals,3,,18506,2:35,
2016-05-08,New York Islanders,0,Tampa Bay Lightning,4,,19092,2:27,
2016-05-09,San Jose Sharks,3,Nashville Predators,4,OT,17292,2:48,
2016-05-09,Dallas Stars,3,St. Louis Blues,2,,19808,2:36,
2016-05-10,Washington Capitals,3,Pittsburgh Penguins,4,OT,18650,3:08,
2016-05-11,St. Louis Blues,6,Dallas Stars,1,,18532,2:29,
2016-05-12,Nashville Predators,0,San Jose Sharks,5,,17562,2:30,
2016-05-13,Tampa Bay Lightning,3,Pittsburgh Penguins,1,,18554,2:36,
2016-05-15,San Jose Sharks,1,St. Louis Blues,2,,19483,2:42,
2016-05-16,Tampa Bay Lightning,2,Pittsburgh Penguins,3,OT,18534,2:48,
2016-05-17,San Jose Sharks,4,St. Louis Blues,0,,19596,2:25,
